"Dis.No" "Year" "Seq" "Glide" "Disaster.Group" "Disaster.Subgroup" "Disaster.Type" "Disaster.Subtype" "Disaster.Subsubtype" "Event.Name" "Country" "ISO" "Region" "Continent" "Location" "Origin" "Associated.Dis" "Associated.Dis2" "OFDA.Response" "Appeal" "Declaration" "AID.Contribution...000.US.." "Dis.Mag.Value" "Dis.Mag.Scale" "Latitude" "Longitude" "Local.Time" "River.Basin" "Start.Year" "Start.Month" "Start.Day" "End.Year" "End.Month" "End.Day" "Total.Deaths" "No.Injured" "No.Affected" "No.Homeless" "Total.Affected" "Reconstruction.Costs...000.US.." "Reconstruction.Costs..Adjusted...000.US.." "Insured.Damages...000.US.." "Insured.Damages..Adjusted...000.US.." "Total.Damages...000.US.." "Total.Damages..Adjusted...000.US.." "CPI" "Adm.Level" "Admin1.Code" "Admin2.Code" "Geo.Locations"
"1998-0326-BRA" 1998 326 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Brazil" "BRA" "South America" "Americas" "Tocantins, Para Mato Grosso, Rondonia" "" "" "" "" "" "" NA 14973 "Km2" "" "" "" "" 1998 9 11 1998 9 11 NA NA NA NA NA NA NA NA NA NA NA 60.15741089 "" "" "" ""
"1998-0070-BRA" 1998 70 "" "Natural" "Climatological" "Wildfire" "Land fire (Brush, Bush, Pasture)" "" "" "Brazil" "BRA" "South America" "Americas" "Alta Alegre, Amajari, Apiau, Bom-Pim, Canta, Caracarai, Iracema, Maraca, Macajai, Normandia, Pacaraima, Uiramuta municipalities (Roraima state)" "" "" "" "Yes" "" "" 184 9254 "Km2" "" "" "" "" 1998 3 15 1998 3 15 1 NA 12000 NA 12000 NA NA NA NA 36000 59843 60.15741089 "" "" "" ""
"1998-0057-BRN" 1998 57 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Brunei Darussalam" "BRN" "South-Eastern Asia" "Asia" "" "" "" "" "" "No" "No" NA NA "Km2" "" "" "" "" 1998 3 4 1998 5 30 NA NA NA NA NA NA NA NA NA 2000 3325 60.15741089 "" "" "" ""
"1998-0123-CAN" 1998 123 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Canada" "CAN" "Northern America" "Americas" "Alberta, British Columbia" "" "" "" "" "" "" NA 1900 "Km2" "" "" "" "" 1998 5 2 1998 5 2 NA NA 8000 NA 8000 NA NA NA NA NA NA 60.15741089 "" "" "" ""
"1994-9223-KHM" 1994 9223 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Cambodia" "KHM" "South-Eastern Asia" "Asia" "Prey Veng, Kompong Speu, Kompong Chhnang, Takeo provinces" "" "Flood" "Famine" "" "No" "No" NA 3000 "Km2" "" "" "" "" 1994 6 NA 1996 NA NA NA NA 5000000 NA 5000000 NA NA NA NA 100000 182810 54.70169254 "" "" "" ""
"1994-0513-IDN" 1994 513 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Indonesia" "IDN" "South-Eastern Asia" "Asia" "North Maluku (Obi Isl.)" "" "Tsunami/Tidal wave" "" "" "No" "No" NA 6 "Richter" "1.14 S" "128.5 E" "4:44" "" 1994 10 9 1994 10 9 1 52 2385 NA 2437 NA NA NA NA NA NA 54.70169254 "" "" "" ""
"1994-0343-JPN" 1994 343 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Japan" "JPN" "Eastern Asia" "Asia" "East coast of Hokaido Isl." "" "Tsunami/Tidal wave" "" "" "No" "No" NA 8 "Richter" "45.10 N" "147.51 E" "" "" 1994 10 4 1994 10 4 5 1500 NA NA 1500 NA NA 11700 21389 NA NA 54.70169254 "" "" "" ""
"1994-9162-CRI" 1994 9162 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Costa Rica" "CRI" "Central America" "Americas" "" "" "" "" "" "No" "No" NA NA "Km2" "" "" "" "" 1994 7 NA 1994 9 NA NA NA NA NA NA NA NA NA NA 1000 1828 54.70169254 "" "" "" ""
"1994-0196-DZA" 1994 196 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Algeria" "DZA" "Northern Africa" "Africa" "Mascara province" "" "" "" "Yes" "Yes" "No" 1778 6 "Richter" "35.52 N" "00.12 W" "2:13" "" 1994 8 18 1994 8 18 171 289 12500 NA 12789 NA NA NA NA NA NA 54.70169254 "" "" "" ""
"1994-0306-DZA" 1994 306 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Algeria" "DZA" "Northern Africa" "Africa" "" "" "" "" "" "" "" NA 200 "Km2" "" "" "" "" 1994 8 NA 1994 8 NA 22 NA NA NA NA NA NA NA NA NA NA 54.70169254 "" "" "" ""
"1994-0139-ESP" 1994 139 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Spain" "ESP" "Southern Europe" "Europe" "Palma de Mallorca" "" "" "" "" "" "" NA 15 "Km2" "" "" "" "" 1994 6 6 1994 6 6 NA NA 1500 NA 1500 NA NA NA NA NA NA 54.70169254 "" "" "" ""
"1994-0155-ESP" 1994 155 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Spain" "ESP" "Southern Europe" "Europe" "Teruel" "" "" "" "" "" "" NA 2700 "Km2" "" "" "" "" 1994 7 4 1994 7 4 20 20 15000 NA 15020 NA NA NA NA NA NA 54.70169254 "" "" "" ""
"1994-9162-GTM" 1994 9162 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Guatemala" "GTM" "Central America" "Americas" "" "" "" "" "" "No" "No" NA NA "Km2" "" "" "" "" 1994 7 NA 1994 9 NA NA NA NA NA NA NA NA NA NA 10000 18281 54.70169254 "" "" "" ""
"1994-9162-HND" 1994 9162 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Honduras" "HND" "Central America" "Americas" "" "" "" "" "" "No" "No" NA NA "Km2" "" "" "" "" 1994 7 NA 1994 9 NA NA NA NA NA NA NA NA NA NA 10000 18281 54.70169254 "" "" "" ""
"1994-0652-IDN" 1994 652 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Indonesia" "IDN" "South-Eastern Asia" "Asia" "Maluki, Irian Jaya, North Sumatra, Denpasar" "" "" "" "" "No" "No" NA 6 "Richter" "2.001 S" "135.931 E" "" "" 1994 11 20 1994 11 20 NA 28 39 NA 67 NA NA NA NA NA NA 54.70169254 "" "" "" ""
"1994-0514-IDN" 1994 514 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Mt. Barujari" "Indonesia" "IDN" "South-Eastern Asia" "Asia" "Lombok (West Nusa Tenggara province)" "" "" "" "" "No" "No" NA NA "" "" "" "" "" 1994 11 3 1994 11 3 31 NA NA NA NA NA NA NA NA NA NA 54.70169254 "" "" "" ""
"1994-0515-IDN" 1994 515 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Mt. Merapi" "Indonesia" "IDN" "South-Eastern Asia" "Asia" "Java Isl." "" "" "" "" "No" "No" 284 NA "" "7.5 S" "110.4 E" "10:15" "" 1994 11 22 1994 12 NA 58 22 2700 NA 2722 NA NA NA NA NA NA 54.70169254 "" "" "" ""
"1994-0359-IDN" 1994 359 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Indonesia" "IDN" "South-Eastern Asia" "Asia" "" "" "" "" "" "" "" NA 1360 "Km2" "" "" "" "" 1994 10 NA 1994 10 NA NA NA 3000000 NA 3000000 NA NA NA NA NA NA 54.70169254 "" "" "" ""
"1994-0197-ITA" 1994 197 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Italy" "ITA" "Southern Europe" "Europe" "Sicily" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1994 8 18 1994 8 18 1 NA 300 NA 300 NA NA NA NA NA NA 54.70169254 "" "" "" ""
"1994-0316-JPN" 1994 316 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Japan" "JPN" "Eastern Asia" "Asia" "Hachinohe (North-East Honshu)" "" "" "" "" "No" "No" NA 8 "Richter" "40.5 N" "143.4 E" "" "" 1994 12 28 1994 12 28 2 285 NA NA 285 NA NA NA NA 170400 311508 54.70169254 "" "" "" ""
"1994-9422-KEN" 1994 9422 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Kenya" "KEN" "Eastern Africa" "Africa" "Northern & northeastern districts" "" "" "" "Yes" "" "" NA NA "Km2" "" "" "" "" 1994 3 NA 1995 NA NA NA NA 1200000 NA 1200000 NA NA NA NA NA NA 54.70169254 "" "" "" ""
"1994-0169-MEX" 1994 169 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Colima" "Mexico" "MEX" "Central America" "Americas" "Jalisco State" "" "" "" "" "No" "No" NA NA "" "19.50 N" "103.60 W" "" "" 1994 7 22 1994 7 22 NA NA 700 NA 700 NA NA NA NA NA NA 54.70169254 "" "" "" ""
"1994-0595-MEX" 1994 595 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Popocatepelt" "Mexico" "MEX" "Central America" "Americas" "Puebla State" "" "" "" "" "No" "No" NA NA "" "19.02 N" "98.62 W" "" "" 1994 12 21 1994 12 21 NA NA 75000 NA 75000 NA NA NA NA NA NA 54.70169254 "" "" "" ""
"1994-9162-NIC" 1994 9162 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Nicaragua" "NIC" "Central America" "Americas" "Western provinces" "" "" "" "" "No" "Yes" NA NA "Km2" "" "" "" "" 1994 7 NA 1994 9 NA NA NA 75000 NA 75000 NA NA NA NA 16000 29250 54.70169254 "" "" "" ""
"1994-0518-PHL" 1994 518 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Philippines (the)" "PHL" "South-Eastern Asia" "Asia" "Mindoro, Luzon" "" "" "" "Yes" "No" "No" NA 7 "Richter" "13.352 N" "121.087 E" "03:15" "" 1994 11 15 1994 11 15 81 171 266710 3985 270866 NA NA NA NA 3700 6764 54.70169254 "" "" "" ""
"1994-0768-PHL" 1994 768 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Philippines (the)" "PHL" "South-Eastern Asia" "Asia" "Oro area (Mindanao)" "" "" "" "" "No" "No" NA 6 "Richter" "7.972 N" "123.189 E" "" "" 1994 5 13 1994 5 13 NA 3 215 NA 218 NA NA NA NA NA NA 54.70169254 "" "" "" ""
"1995-0084-IDN" 1995 84 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Indonesia" "IDN" "South-Eastern Asia" "Asia" "Dili, Maliana, Mauraba (East Timor)" "" "Slide (land, mud, snow, rock)" "Tsunami/Tidal wave" "" "No" "No" NA 7 "Richter" "40.1 N" "21.6 E" "19:33" "" 1995 5 14 1995 5 14 15 26 150 NA 176 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-0016-JPN" 1995 16 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Japan" "JPN" "Eastern Asia" "Asia" "Kobe, Osaka, Hyigo, Kyoto prefecture" "" "Fire" "" "" "No" "No" 13557 7 "Richter" "34.58 N" "135.0 E" "05:46" "" 1995 1 17 1995 1 17 5297 34492 255843 251301 541636 NA NA 3000000 5334633 100000000 177821087 56.23630002 "" "" "" ""
"1995-0015-COL" 1995 15 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Colombia" "COL" "South America" "Americas" "Boyaca Province, Casanare Department" "" "Slide (land, mud, snow, rock)" "" "" "No" "No" NA 7 "Richter" "4.9 N" "73.1 W" "10:05" "" 1995 1 19 1995 1 19 7 35 2560 250 2845 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-0252-IDN" 1995 252 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Indonesia" "IDN" "South-Eastern Asia" "Asia" "Airhangat, Danaukerinci, Gunungkerinci, Gunungraya, Sitinjau Laut, Sungaipenuh (Jambi province)" "" "Slide (land, mud, snow, rock)" "" "Yes" "No" "No" 1018 7 "Richter" "2.1 S" "101.3 E" "1:10" "" 1995 10 7 1995 10 7 84 1868 52665 35685 90218 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-0030-COL" 1995 30 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Colombia" "COL" "South America" "Americas" "Pereira" "" "" "" "" "No" "No" 20 6 "Richter" "4.1 N" "76.6 W" "13:40" "" 1995 2 8 1995 2 8 40 230 11867 3000 15097 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-0054-COL" 1995 54 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Colombia" "COL" "South America" "Americas" "Pasto area" "" "" "" "" "No" "No" NA 5 "Richter" "1.12 N" "77.17 W" "18:23" "" 1995 3 4 1995 3 4 8 4 255 NA 259 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-0052-CPV" 1995 52 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Fogo" "Cabo Verde" "CPV" "Western Africa" "Africa" "Fogo Island" "" "" "" "Yes" "Yes" "No" 678 NA "" "" "" "" "" 1995 4 3 1995 5 NA NA 6 1300 5000 6306 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-0034-CYP" 1995 34 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Cyprus" "CYP" "Western Asia" "Asia" "Paphos, Nicosia areas" "" "" "" "" "No" "No" NA 6 "Richter" "35.1 N" "32.3 E" "0:03" "" 1995 2 23 1995 2 23 2 5 1710 150 1865 NA NA NA NA 4340 7717 56.23630002 "" "" "" ""
"1995-0047-ECU" 1995 47 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Ecuador" "ECU" "South America" "Americas" "Quevedo" "" "" "" "" "No" "No" NA 5 "Richter" "2.13 S" "79.54 W" "" "" 1995 3 26 1995 3 26 1 85 NA NA 85 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-0226-ECU" 1995 226 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Ecuador" "ECU" "South America" "Americas" "Pastaza, Tena, Archidona, Santiago (Cutuca mountains, Morona Santiago Province)" "" "" "" "" "No" "No" NA 7 "Richter" "2.7 S" "77.8 W" "20:51" "" 1995 10 2 1995 10 2 2 5 200 600 805 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-0293-EGY" 1995 293 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Egypt" "EGY" "Northern Africa" "Africa" "Cairo" "" "" "" "" "No" "No" NA 6 "Richter" "28.8 N" "34.8 E" "6:15" "" 1995 11 22 1995 11 22 10 69 NA NA 69 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-0085-GRC" 1995 85 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Greece" "GRC" "Southern Europe" "Europe" "Kozani, Thessaloniki, Grevena-Kozani, Patras" "" "" "" "" "No" "No" 122 7 "Richter" "40.1 N" "21.6 E" "8:47" "" 1995 5 13 1995 5 13 26 60 15000 NA 15060 NA NA NA NA 450000 800195 56.23630002 "" "" "" ""
"1995-0437-GRC" 1995 437 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Greece" "GRC" "Southern Europe" "Europe" "Aiyion" "" "" "" "" "No" "No" NA 6 "Richter" "38.4 N" "22.2 E" "00:15:48" "" 1995 6 15 1995 6 15 26 100 7500 6300 13900 NA NA 200 356 422700 751650 56.23630002 "" "" "" ""
"1995-0159-GRC" 1995 159 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Greece" "GRC" "Southern Europe" "Europe" "Mount Penteli (Athens)" "" "" "" "" "" "" NA 100 "Km2" "" "" "" "" 1995 7 22 1995 7 22 NA 14 2000 NA 2014 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-0089-IDN" 1995 89 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Indonesia" "IDN" "South-Eastern Asia" "Asia" "Parigi, Palu, Poso (Sulawesi)" "" "" "" "" "No" "No" NA 6 "Richter" "1.02 S" "120.5 E" "06:13" "" 1995 5 19 1995 5 19 NA 38 1500 NA 1538 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-0145-ISR" 1995 145 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Israel" "ISR" "Western Asia" "Asia" "Jerusalem area" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1995 7 2 1995 7 2 NA 40 200 NA 240 NA NA NA NA 45000 80019 56.23630002 "" "" "" ""
"1995-0449-JPN" 1995 449 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Japan" "JPN" "Eastern Asia" "Asia" "Niigata (Eastern Honshu)" "" "" "" "" "No" "No" NA 5 "Richter" "37.925 N" "139.186 E" "" "" 1995 4 1 1995 4 1 NA 39 1512 NA 1551 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-0203-MEX" 1995 203 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Mexico" "MEX" "Central America" "Americas" "Costa Chica (Guerrerro state), Oaxaca, Ometepec, Igualapa, Cuajinicuilapa" "" "" "" "" "No" "No" NA 7 "Richter" "16.8 N" "98.6 W" "" "" 1995 9 14 1995 9 14 6 25 1140 3505 4670 NA NA NA NA 21100 37520 56.23630002 "" "" "" ""
"1995-0253-MEX" 1995 253 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Mexico" "MEX" "Central America" "Americas" "Jalisco, Colima, Guerrero, Michoacan" "" "" "" "" "No" "No" 175 8 "Richter" "16.2 N" "104.1 E" "9:36" "" 1995 10 9 1995 10 9 58 100 35595 8770 44465 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-0454-MEX" 1995 454 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Mexico" "MEX" "Central America" "Americas" "Chiapas, Tuxtla Gutierrez, Nuevo Mexico, Tenochititlan, La Garza, Alvaro Obregon, Villaflores" "" "" "" "" "No" "No" NA 7 "Richter" "16.8 N" "93.4 W" "20:38" "" 1995 10 20 1995 10 20 NA NA 18000 NA 18000 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-9119-MEX" 1995 9119 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Mexico" "MEX" "Central America" "Americas" "Coahuila, Durango, Chihuahua, Nuevo Leon" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1995 6 NA 1995 6 NA NA NA NA NA NA NA NA NA NA 100000 177821 56.23630002 "" "" "" ""
"1995-0148-MMR" 1995 148 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Myanmar" "MMR" "South-Eastern Asia" "Asia" "Shan state" "" "" "" "" "No" "No" NA 7 "Richter" "21.966 N" "99.196 E" "04:47" "" 1995 7 12 1995 7 12 NA NA NA NA NA NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-0151-MSR" 1995 151 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Chance's Peak" "Montserrat" "MSR" "Caribbean" "Americas" "Plymouth and surrounding" "" "" "" "" "No" "No" 3088 NA "" "" "" "" "" 1995 7 18 1995 12 NA NA NA 5000 NA 5000 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-0370-MYS" 1995 370 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Malaysia" "MYS" "South-Eastern Asia" "Asia" "Palau Gaya (Borneo)" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1995 5 3 1995 5 3 NA NA NA 3000 3000 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-9269-NAM" 1995 9269 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Namibia" "NAM" "Southern Africa" "Africa" "" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1995 NA NA 1996 NA NA NA NA 163200 NA 163200 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-0283-NIC" 1995 283 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Cerro Negro" "Nicaragua" "NIC" "Central America" "Americas" "Leon" "" "" "" "" "Yes" "No" 170 NA "" "12.5 N" "86.7 W" "" "" 1995 11 21 1995 11 21 NA NA 12000 NA 12000 NA NA NA NA 722 1284 56.23630002 "" "" "" ""
"1995-0237-NZL" 1995 237 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Mount Ruapehu" "New Zealand" "NZL" "Australia and New Zealand" "Oceania" "North of the Island" "" "" "" "" "No" "No" NA NA "" "39.28 S" "175.57 E" "" "" 1995 9 24 1995 9 24 NA NA 70 NA 70 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-0055-PHL" 1995 55 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Philippines (the)" "PHL" "South-Eastern Asia" "Asia" "near Dolores (Samar Isl.)" "" "" "" "" "" "" NA 7 "Richter" "12.01 N" "125.6 E" "8:00" "" 1995 4 21 1995 4 21 NA NA NA NA NA NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1995-0472-PHL" 1995 472 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Mt Pinatubo" "Philippines (the)" "PHL" "South-Eastern Asia" "Asia" "" "" "" "" "Yes" "No" "No" NA NA "" "" "" "" "" 1995 7 29 1995 7 30 NA NA NA 2500 2500 NA NA NA NA NA NA 56.23630002 "" "" "" ""
"1996-0002-IDN" 1996 2 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Indonesia" "IDN" "South-Eastern Asia" "Asia" "North of Palu (Sulawesi Isl)" "" "Tsunami/Tidal wave" "" "" "" "" NA 7 "Richter" "0.729" "119.931" "16:05" "" 1996 1 1 1996 1 1 9 NA NA 13000 13000 NA NA NA NA 1200 2073 57.88470588 "" "" "" ""
"1996-0061-IDN" 1996 61 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Indonesia" "IDN" "South-Eastern Asia" "Asia" "Biak (Iran Jaya)" "" "Tsunami/Tidal wave" "" "Yes" "" "" 933 8 "Richter" "1.1" "137.15" "14:59" "" 1996 2 17 1996 2 17 166 423 20125 5090 25638 NA NA NA NA 4200 7256 57.88470588 "" "" "" ""
"1996-9119-DJI" 1996 9119 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Djibouti" "DJI" "Eastern Africa" "Africa" "Gouvetto, Kabah-Kabah, Assamo, Guestir, Ali-Addeh, Hol-Hol (Ali-Sabieh dist.), Yokobi, Asseyla (Dikhil dist.), Makrassoul, Dorba, Assa-Guela, Dabnou, Adgueno, Assal, Neima, Debne-Auri, Bahlo (Tadjourah dist.), Adguenou (Obock dist.), Damerjob, Artawea" "Lack rainfall" "" "" "" "Yes" "No" 70 NA "Km2" "" "" "" "" 1996 2 NA 1996 NA NA NA NA 100000 NA 100000 NA NA NA NA NA NA 57.88470588 "" "" "" ""
"1996-0062-ECU" 1996 62 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Ecuador" "ECU" "South America" "Americas" "Pujili, San Juan, Atocha, Santa Barbara, Rumiquinche, Cuturibi Alto, Cutuburi Bajo, San Antonio, Cachi Ato, Cachi Bajo, Nazareth, La Merced, Pucara, Alpamalag, La Victoria, Tiobamba, California, Lacubamba, Laguamatsa, Isinche, (Cotopaxi" "" "" "" "Yes" "No" "No" 1376 6 "Richter" "0.68 S" "78.30 W" "18:03" "" 1996 3 28 1996 3 28 27 180 15000 15525 30705 NA NA NA NA 7000 12093 57.88470588 "" "" "" ""
"1996-0179-GRC" 1996 179 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Greece" "GRC" "Southern Europe" "Europe" "Konitsa" "" "" "" "" "No" "No" NA 6 "Richter" "40.03 N" "20.45 E" "" "" 1996 8 6 1996 8 6 NA NA 1500 NA 1500 NA NA NA NA NA NA 57.88470588 "" "" "" ""
"1996-0262-GTM" 1996 262 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Pacaya" "Guatemala" "GTM" "Central America" "Americas" "Near Guatemala City" "" "" "" "" "No" "No" NA NA "" "14.4 N" "90.6 W" "" "" 1996 11 11 1996 11 11 NA NA 743 NA 743 NA NA NA NA NA NA 57.88470588 "" "" "" ""
"1996-0212-HRV" 1996 212 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Croatia" "HRV" "Southern Europe" "Europe" "Ston, Slano area" "" "" "" "Yes" "No" "No" 219 6 "Richter" "42.70 N" "18. E" "22:44" "" 1996 9 5 1996 9 5 NA NA NA 2000 2000 NA NA NA NA NA NA 57.88470588 "" "" "" ""
"1996-9328-IND" 1996 9328 "" "Natural" "Climatological" "Drought" "Drought" "" "" "India" "IND" "Southern Asia" "Asia" "Rajasthan" "" "" "" "" "No" "No" NA 72000 "Km2" "" "" "" "" 1996 3 NA 1996 4 NA NA NA NA NA NA NA NA NA NA 542400 937035 57.88470588 "" "" "" ""
"1996-0237-ISL" 1996 237 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Grimsvotn" "Iceland" "ISL" "Northern Europe" "Europe" "North" "" "" "" "" "No" "No" NA NA "" "64.42 N" "17.33 W" "" "" 1996 10 1 1996 11 7 NA NA NA NA NA NA NA NA NA 16500 28505 57.88470588 "" "" "" ""
"1996-9326-KEN" 1996 9326 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Kenya" "KEN" "Eastern Africa" "Africa" "Garissa, Isiolo, Wajir, Mandera, Turkana, Baringo, Kifili, Meru, Makueni, Marsabit/moyale, Tana river, Kitui, Mwingi, Mbere, Tharaka Nithi, Nyambene, Machakos, Taita Taveta, Muranga/Makuyu/Maragwa, Kajiado, Kilifi districts" "" "" "" "Yes" "Yes" "Yes" 32256 NA "Km2" "" "" "" "" 1997 1 NA 1998 NA NA NA NA 1600000 NA 1600000 NA NA NA NA NA NA 57.88470588 "" "" "" ""
"1996-9097-MEX" 1996 9097 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Mexico" "MEX" "Central America" "Americas" "North" "" "" "" "" "No" "No" NA NA "Km2" "" "" "" "" 1996 5 NA 1996 NA NA NA NA NA NA NA NA NA NA NA 1200000 2073086 57.88470588 "" "" "" ""
"1996-0074-MNG" 1996 74 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Mongolia" "MNG" "Eastern Asia" "Asia" "Huvsgul, Bulgan, Arkhangai, Khentii, Tuv, Dornod, Uvs" "" "" "" "" "No" "No" 2651 80000 "Km2" "" "" "" "" 1996 4 8 1996 5 9 25 61 5000 NA 5061 NA NA NA NA 1712800 2958985 57.88470588 "" "" "" ""
"1996-0174-MSR" 1996 174 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Soufrièr" "Montserrat" "MSR" "Caribbean" "Americas" "" "" "" "" "" "No" "No" NA NA "" "" "" "" "" 1996 7 29 1996 7 29 NA NA 4000 NA 4000 NA NA NA NA NA NA 57.88470588 "" "" "" ""
"1996-0261-PER" 1996 261 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Peru" "PER" "South America" "Americas" "Ica, Palpa, Nazca, Caraveli, Lucanas, Huancavelica provinces" "" "" "" "Yes" "No" "No" 2052 7 "Richter" "14.9 S" "75.7 W" "12:00" "" 1996 11 12 1996 11 12 14 585 55355 20030 75970 NA NA NA NA NA NA 57.88470588 "" "" "" ""
"1996-0042-PER" 1996 42 "" "Natural" "Geophysical" "Earthquake" "Tsunami" "" "" "Peru" "PER" "South America" "Americas" "Pacific Coast" "Earthquake" "" "" "" "No" "No" NA NA "Richter" "9.593 S" "79.587 W" "7:51" "" 1996 2 21 1996 2 21 7 2 NA 750 752 NA NA NA NA NA NA 57.88470588 "" "" "" ""
